user_id,register_time,recently_logged,number_of_classes_join,number_of_classes_out,learn_time,leave
用户44202,2020-06-16 15:39:00,2020-06-16 15:39:00,0,0,0.0,False
用户44201,2020-06-16 15:36:00,2020-06-16 15:36:00,0,0,17.92,False
用户44200,2020-06-16 15:34:00,2020-06-16 15:54:00,0,0,0.0,False
用户44199,2020-06-16 15:28:00,2020-06-16 15:29:00,0,0,0.92,False
用户44198,2020-06-16 15:28:00,2020-06-17 21:04:00,1,0,1719.77,False
用户44197,2020-06-16 15:21:00,2020-06-16 15:21:00,1,0,0.0,False
用户44196,2020-06-16 14:47:00,2020-06-16 14:48:00,0,0,0.0,False
用户44195,2020-06-16 14:28:00,2020-06-16 14:28:00,0,0,0.0,False
用户44194,2020-06-16 10:44:00,2020-06-16 10:45:00,0,0,0.22,False
用户44193,2020-06-16 10:26:00,2020-06-16 10:27:00,0,0,0.53,False
用户44190,2020-06-16 10:26:00,2020-06-16 10:50:00,1,0,161.4,False
用户44192,2020-06-16 10:26:00,2020-06-16 10:39:00,1,0,2108.8,False
用户44187,2020-06-16 10:26:00,2020-06-17 21:59:00,1,0,6746.15,False
用户44189,2020-06-16 10:26:00,2020-06-16 10:26:00,1,0,8608.28,False
用户44185,2020-06-16 10:20:00,2020-06-16 10:20:00,0,0,0.0,False
用户44184,2020-06-16 10:02:00,2020-06-17 21:58:00,0,0,489.55,False
用户44183,2020-06-16 09:53:00,2020-06-16 10:51:00,0,0,0.0,False
用户44182,2020-06-16 09:51:00,2020-06-16 09:51:00,0,0,12.95,False
用户44181,2020-06-16 09:51:00,2020-06-16 09:51:00,0,0,86.6,False
用户44179,2020-06-16 09:29:00,2020-06-16 09:54:00,2,1,27.32,False
用户44178,2020-06-16 09:29:00,2020-06-16 09:29:00,0,0,2.2,False
用户44177,2020-06-16 08:16:00,2020-06-16 08:16:00,0,0,0.0,False
用户44176,2020-06-15 23:35:00,2020-06-15 23:35:00,0,0,0.0,False
用户44175,2020-06-15 23:23:00,2020-06-15 23:24:00,0,0,0.0,False
用户44174,2020-06-15 22:06:00,2020-06-15 22:06:00,0,0,1.92,False
用户44173,2020-06-15 21:15:00,2020-06-16 09:46:00,0,0,535.57,False
用户44172,2020-06-15 20:04:00,2020-06-15 20:04:00,0,0,132.5,False
用户44171,2020-06-15 19:06:00,2020-06-15 19:07:00,1,0,0.0,False
用户44170,2020-06-15 18:52:00,2020-06-15 18:53:00,0,0,104.12,False
用户44169,2020-06-15 17:05:00,2020-06-15 17:05:00,0,0,9.23,False
用户44164,2020-06-15 16:45:00,2020-06-16 16:42:00,1,0,61.35,False
用户44165,2020-06-15 16:45:00,2020-06-16 12:28:00,1,0,53.67,False
用户44166,2020-06-15 16:45:00,2020-06-17 21:47:00,1,0,234.07,False
用户44167,2020-06-15 16:45:00,2020-06-15 20:06:00,1,0,354.97,False
用户44168,2020-06-15 16:45:00,2020-06-16 23:34:00,1,0,170.65,False
用户44163,2020-06-15 16:45:00,2020-06-17 14:52:00,2,1,475.3,False
用户44162,2020-06-15 16:06:00,2020-06-15 16:13:00,0,0,0.0,False
用户44161,2020-06-15 15:52:00,2020-06-15 15:52:00,0,0,0.0,False
用户44160,2020-06-15 15:49:00,2020-06-15 15:49:00,0,0,4.62,False
用户44159,2020-06-15 15:47:00,2020-06-18 09:30:00,1,0,11222.57,False
用户44158,2020-06-15 15:43:00,2020-06-17 16:30:00,0,0,396.55,False
用户44157,2020-06-15 15:25:00,2020-06-15 15:25:00,0,0,0.38,False
用户44156,2020-06-15 15:01:00,2020-06-17 08:50:00,0,0,1175.67,False
用户44155,2020-06-15 14:59:00,2020-06-17 14:05:00,1,0,1115.88,False
用户44154,2020-06-15 14:19:00,2020-06-15 14:22:00,0,0,2.32,False
用户44151,2020-06-15 14:14:00,2020-06-15 14:14:00,1,0,1816.72,False
用户44153,2020-06-15 14:14:00,2020-06-18 09:27:00,2,0,5448.85,False
用户44150,2020-06-15 13:53:00,2020-06-17 14:44:00,1,0,14057.97,False
用户44145,2020-06-15 13:53:00,2020-06-16 19:30:00,1,0,1058.83,False
用户44146,2020-06-15 13:53:00,2020-06-17 17:58:00,1,0,13806.07,False
用户44148,2020-06-15 13:53:00,2020-06-15 13:53:00,1,0,1130.4,False
用户44144,2020-06-15 13:46:00,2020-06-15 14:02:00,1,0,655.63,False
用户44143,2020-06-15 13:02:00,2020-06-15 13:02:00,0,0,28.05,False
用户44142,2020-06-15 12:14:00,2020-06-16 08:56:00,0,0,563.57,False
用户44141,2020-06-15 10:49:00,2020-06-15 10:49:00,0,0,0.0,False
用户44140,2020-06-15 10:25:00,2020-06-17 09:41:00,0,0,755.63,False
用户44139,2020-06-15 10:20:00,2020-06-15 10:21:00,0,0,0.0,False
用户44138,2020-06-15 09:48:00,2020-06-15 09:49:00,0,0,0.13,False
用户44137,2020-06-15 09:44:00,2020-06-17 10:43:00,0,0,996.92,False
用户44136,2020-06-15 09:43:00,2020-06-15 10:05:00,0,0,27.73,False
用户44135,2020-06-15 09:34:00,2020-06-15 09:35:00,0,0,0.98,False
用户44134,2020-06-15 02:37:00,2020-06-15 02:56:00,0,0,13.82,False
用户44133,2020-06-14 22:52:00,2020-06-14 22:52:00,0,0,0.0,False
用户44132,2020-06-14 21:28:00,2020-06-14 21:30:00,0,0,165.92,False
用户44131,2020-06-14 19:48:00,2020-06-14 19:48:00,0,0,0.93,False
用户44130,2020-06-14 18:40:00,2020-06-14 18:41:00,0,0,11.53,False
用户44129,2020-06-14 16:58:00,2020-06-14 16:58:00,0,0,114.4,False
用户44128,2020-06-14 16:28:00,2020-06-14 16:29:00,0,0,0.0,False
用户44127,2020-06-14 15:46:00,2020-06-14 15:47:00,0,0,0.4,False
用户44126,2020-06-14 15:35:00,2020-06-14 15:36:00,0,0,26.05,False
用户44125,2020-06-14 14:50:00,2020-06-14 14:50:00,0,0,294.57,False
用户44124,2020-06-14 13:22:00,2020-06-14 13:23:00,0,0,1.02,False
用户44123,2020-06-14 13:10:00,2020-06-14 13:11:00,0,0,0.0,False
用户44122,2020-06-14 12:26:00,2020-06-14 12:26:00,0,0,0.0,False
用户44121,2020-06-14 11:03:00,2020-06-14 11:04:00,0,0,6.95,False
用户44120,2020-06-14 10:46:00,2020-06-14 10:47:00,0,0,0.0,False
用户44119,2020-06-14 10:40:00,2020-06-14 10:40:00,0,0,60.02,False
用户44118,2020-06-13 23:47:00,2020-06-14 17:48:00,0,0,221.95,False
用户44117,2020-06-13 22:43:00,2020-06-13 23:14:00,0,0,293.72,False
用户44116,2020-06-13 22:41:00,2020-06-13 22:41:00,0,0,16.0,False
用户44115,2020-06-13 22:00:00,2020-06-13 22:00:00,0,0,5.97,False
用户44114,2020-06-13 21:58:00,2020-06-15 15:49:00,0,0,0.58,False
用户44113,2020-06-13 18:15:00,2020-06-13 18:16:00,0,0,0.0,False
用户44112,2020-06-13 15:49:00,2020-06-13 15:49:00,0,0,0.0,False
用户44111,2020-06-13 15:42:00,2020-06-13 15:42:00,0,0,41.35,False
用户44110,2020-06-13 15:41:00,2020-06-13 15:41:00,0,0,1.52,False
用户44109,2020-06-13 14:41:00,2020-06-15 08:06:00,1,0,0.0,False
用户44108,2020-06-13 14:09:00,2020-06-13 14:09:00,0,0,0.0,False
用户44107,2020-06-12 21:32:00,2020-06-12 21:34:00,0,0,2.03,False
用户44106,2020-06-12 21:14:00,2020-06-12 21:15:00,0,0,68.05,False
用户44105,2020-06-12 19:57:00,2020-06-12 19:58:00,0,0,328.1,False
用户44104,2020-06-12 18:09:00,2020-06-12 18:12:00,0,0,1.02,False
用户44103,2020-06-12 18:05:00,2020-06-12 19:35:00,1,2,0.0,False
用户44102,2020-06-12 17:50:00,2020-06-17 19:29:00,1,0,1891.47,False
用户44100,2020-06-12 17:50:00,2020-06-17 18:27:00,1,0,3939.35,False
用户44101,2020-06-12 17:50:00,2020-06-17 22:41:00,1,0,1445.17,False
用户44097,2020-06-12 17:46:00,2020-06-18 08:28:00,1,0,796.45,False
用户44098,2020-06-12 17:46:00,2020-06-14 14:51:00,1,0,308.42,False
用户44099,2020-06-12 17:46:00,2020-06-16 12:38:00,1,0,1240.47,False
用户44091,2020-06-12 17:46:00,2020-06-18 07:54:00,1,0,2720.82,False
用户44092,2020-06-12 17:46:00,2020-06-16 12:41:00,1,0,784.1,False
用户44093,2020-06-12 17:46:00,2020-06-17 15:47:00,1,0,576.3,False
用户44094,2020-06-12 17:46:00,2020-06-17 19:00:00,1,0,4073.45,False
用户44095,2020-06-12 17:46:00,2020-06-12 17:46:00,1,0,0.0,False
用户44096,2020-06-12 17:46:00,2020-06-17 16:51:00,1,0,1554.57,False
用户44090,2020-06-12 17:46:00,2020-06-12 17:46:00,1,0,69.88,False
用户44089,2020-06-12 17:33:00,2020-06-17 20:04:00,1,0,89.67,False
用户44088,2020-06-12 17:19:00,2020-06-16 21:58:00,1,0,3673.65,False
用户44085,2020-06-12 17:17:00,2020-06-17 13:16:00,1,0,1267.32,False
用户44086,2020-06-12 17:17:00,2020-06-18 08:12:00,1,0,2727.23,False
用户44087,2020-06-12 17:17:00,2020-06-15 19:56:00,1,0,954.83,False
用户44084,2020-06-12 17:14:00,2020-06-12 17:14:00,1,0,0.0,False
用户44080,2020-06-12 17:08:00,2020-06-17 15:15:00,1,0,1790.33,False
用户44081,2020-06-12 17:08:00,2020-06-18 00:28:00,1,0,2085.62,False
用户44082,2020-06-12 17:08:00,2020-06-18 00:31:00,1,0,7422.65,False
用户44074,2020-06-12 17:08:00,2020-06-18 09:44:00,1,0,1441.37,False
用户44075,2020-06-12 17:08:00,2020-06-17 20:43:00,1,0,1595.2,False
用户44076,2020-06-12 17:08:00,2020-06-17 20:37:00,1,0,1724.23,False
用户44077,2020-06-12 17:08:00,2020-06-17 21:03:00,1,0,1752.57,False
用户44078,2020-06-12 17:08:00,2020-06-17 20:34:00,1,0,4713.0,False
用户44079,2020-06-12 17:08:00,2020-06-17 21:38:00,1,0,7361.3,False
用户44069,2020-06-12 17:08:00,2020-06-17 15:54:00,1,0,3477.95,False
用户44070,2020-06-12 17:08:00,2020-06-17 18:33:00,1,0,2702.38,False
用户44071,2020-06-12 17:08:00,2020-06-17 20:35:00,1,0,1638.9,False
用户44072,2020-06-12 17:08:00,2020-06-17 22:36:00,1,0,1059.35,False
用户44073,2020-06-12 17:08:00,2020-06-17 21:32:00,1,0,1504.25,False
用户44064,2020-06-12 17:08:00,2020-06-16 19:13:00,1,0,4316.9,False
用户44065,2020-06-12 17:08:00,2020-06-17 22:19:00,1,0,1434.98,False
用户44066,2020-06-12 17:08:00,2020-06-17 20:14:00,1,0,2004.48,False
用户44067,2020-06-12 17:08:00,2020-06-15 22:56:00,1,0,2836.32,False
用户44068,2020-06-12 17:08:00,2020-06-18 09:54:00,1,0,1858.72,False
用户44058,2020-06-12 17:08:00,2020-06-17 13:28:00,1,0,719.3,False
用户44059,2020-06-12 17:08:00,2020-06-15 09:50:00,1,0,227.55,False
用户44060,2020-06-12 17:08:00,2020-06-15 18:02:00,1,0,764.58,False
用户44061,2020-06-12 17:08:00,2020-06-15 21:19:00,1,0,2360.92,False
用户44062,2020-06-12 17:08:00,2020-06-17 19:35:00,1,0,1605.82,False
用户44053,2020-06-12 17:08:00,2020-06-18 09:39:00,1,0,2483.22,False
用户44054,2020-06-12 17:08:00,2020-06-17 14:19:00,1,0,2350.8,False
用户44056,2020-06-12 17:08:00,2020-06-17 20:06:00,1,0,2828.92,False
用户44057,2020-06-12 17:08:00,2020-06-17 14:56:00,1,0,125.93,False
用户44047,2020-06-12 17:08:00,2020-06-17 11:46:00,1,0,1528.7,False
用户44048,2020-06-12 17:08:00,2020-06-18 08:28:00,1,0,1757.83,False
用户44049,2020-06-12 17:08:00,2020-06-17 14:08:00,1,0,778.62,False
用户44050,2020-06-12 17:08:00,2020-06-17 12:19:00,1,0,1368.03,False
用户44051,2020-06-12 17:08:00,2020-06-18 09:39:00,1,0,979.77,False
用户44052,2020-06-12 17:08:00,2020-06-17 21:10:00,1,0,1163.3,False
用户44041,2020-06-12 17:08:00,2020-06-17 16:30:00,1,0,1629.08,False
用户44042,2020-06-12 17:08:00,2020-06-18 09:47:00,1,0,2026.72,False
用户44043,2020-06-12 17:08:00,2020-06-18 00:22:00,1,0,4024.45,False
用户44044,2020-06-12 17:08:00,2020-06-15 10:23:00,1,0,74.27,False
用户44046,2020-06-12 17:08:00,2020-06-17 15:54:00,1,0,1628.33,False
用户44035,2020-06-12 17:08:00,2020-06-17 09:38:00,1,0,3342.97,False
用户44036,2020-06-12 17:08:00,2020-06-17 19:50:00,1,0,1545.05,False
用户44037,2020-06-12 17:08:00,2020-06-18 09:47:00,1,0,1820.02,False
用户44038,2020-06-12 17:08:00,2020-06-17 22:13:00,1,0,1106.88,False
用户44039,2020-06-12 17:08:00,2020-06-18 09:40:00,1,0,2175.27,False
用户44040,2020-06-12 17:08:00,2020-06-17 22:16:00,1,0,2431.0,False
用户44032,2020-06-12 17:08:00,2020-06-18 08:57:00,1,0,2300.47,False
用户44033,2020-06-12 17:08:00,2020-06-18 09:03:00,1,0,2269.9,False
用户44034,2020-06-12 17:08:00,2020-06-17 17:02:00,1,0,856.82,False
用户44029,2020-06-12 17:08:00,2020-06-15 19:07:00,1,0,0.0,False
用户44030,2020-06-12 17:08:00,2020-06-18 09:33:00,1,0,2861.77,False
用户44031,2020-06-12 17:08:00,2020-06-17 14:34:00,2,1,1780.28,False
用户44028,2020-06-12 16:18:00,2020-06-12 16:19:00,0,0,0.0,False
用户44027,2020-06-12 16:00:00,2020-06-12 16:00:00,0,0,58.35,False
用户44026,2020-06-12 15:40:00,2020-06-12 15:41:00,0,0,80.88,False
用户44025,2020-06-12 15:33:00,2020-06-18 09:44:00,0,0,3061.68,False
用户44023,2020-06-12 15:10:00,2020-06-15 09:43:00,2,0,12280.75,False
用户44022,2020-06-12 14:26:00,2020-06-12 14:26:00,0,0,2.7,False
用户44021,2020-06-12 12:59:00,2020-06-12 13:01:00,0,0,50.85,False
用户44020,2020-06-12 12:24:00,2020-06-14 09:47:00,0,0,70.87,False
用户44019,2020-06-12 11:26:00,2020-06-12 11:26:00,0,0,0.0,False
用户44018,2020-06-12 11:03:00,2020-06-12 11:03:00,1,0,0.0,False
用户44017,2020-06-12 10:49:00,2020-06-17 06:31:00,0,0,629.6,False
用户44016,2020-06-12 10:48:00,2020-06-12 10:48:00,0,0,0.0,False
用户44015,2020-06-12 09:54:00,2020-06-12 11:10:00,0,0,30.22,False
用户44014,2020-06-12 09:06:00,2020-06-12 09:06:00,0,0,2.23,False
用户44013,2020-06-12 08:19:00,2020-06-18 09:23:00,0,0,42.07,False
用户44012,2020-06-12 01:55:00,2020-06-15 22:34:00,0,0,873.58,False
用户44011,2020-06-11 21:36:00,2020-06-11 21:36:00,0,0,2.1,False
用户44010,2020-06-11 21:12:00,2020-06-17 08:48:00,0,0,2182.33,False
用户44009,2020-06-11 19:44:00,2020-06-11 19:45:00,0,0,0.33,False
用户44008,2020-06-11 19:40:00,2020-06-11 19:41:00,0,0,21.7,False
用户44007,2020-06-11 18:57:00,2020-06-12 11:44:00,0,0,39.5,False
用户44006,2020-06-11 18:56:00,2020-06-11 18:56:00,0,0,0.0,False
用户43972,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43973,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43967,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43968,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43969,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43970,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43971,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43966,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43962,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43963,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43964,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43965,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43958,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43959,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43960,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43961,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43957,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43951,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43952,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43953,2020-06-11 18:20:00,2020-06-11 18:20:00,2,0,0.0,False
用户43954,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43955,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43956,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43950,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43945,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43946,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43947,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43948,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43949,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43942,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43943,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43944,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43939,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43940,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43941,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43934,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43935,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43936,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43937,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43938,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43933,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43927,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43928,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43929,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43930,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43931,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43932,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43926,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43921,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43922,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43923,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43924,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43925,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43918,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43919,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43920,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43916,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43917,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43910,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43911,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43912,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43913,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43914,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43915,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43904,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43905,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43906,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43907,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43908,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43909,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43902,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43903,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43900,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43901,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43894,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43895,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43896,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43897,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43898,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43899,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43889,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43890,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43891,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43892,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43893,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43886,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43887,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43888,2020-06-11 18:20:00,2020-06-11 18:20:00,1,0,0.0,False
用户43884,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43885,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43879,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43880,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43881,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43882,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43883,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43873,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43874,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43875,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43876,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43877,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43878,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43871,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43872,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
用户43868,2020-06-11 18:06:00,2020-06-11 18:06:00,1,0,0.0,False
